Code,Description,origin_airport_id_ordered,dest_airport_id_ordered
11624,"Key West, FL: Key West International",75.0,65.0
11630,"Fairbanks, AK: Fairbanks International",21.0,27.0
11637,"Fargo, ND: Hector International",179.0,172.0
11638,"Fresno, CA: Fresno Yosemite International",214.0,212.0
11641,"Fayetteville, NC: Fayetteville Regional/Grannis Field",111.0,96.0
11648,"Kalispell, MT: Glacier Park International",45.0,66.0
11695,"Flagstaff, AZ: Flagstaff Pulliam",52.0,26.0
11697,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",252.0,264.0
11721,"Flint, MI: Bishop International",40.0,58.0
11775,"Sioux Falls, SD: Joe Foss Field",181.0,199.0
11778,"Fort Smith, AR: Fort Smith Regional",108.0,227.0
11823,"Fort Wayne, IN: Fort Wayne International",204.0,278.0
11865,"Gillette, WY: Gillette Campbell County",23.0,19.0
11867,"Garden City, KS: Garden City Regional",305.0,281.0
11884,"Spokane, WA: Spokane International",39.0,78.0
11898,"Grand Forks, ND: Grand Forks International",127.0,101.0
11905,"Longview, TX: East Texas Regional",301.0,307.0
11921,"Grand Junction, CO: Grand Junction Regional",16.0,17.0
11953,"Gainesville, FL: Gainesville Regional",187.0,182.0
11973,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",139.0,102.0
11977,"Green Bay, WI: Green Bay Austin Straubel International",88.0,247.0
11980,"Grand Island, NE: Central Nebraska Regional",296.0,265.0
11982,"Killeen, TX: Robert Gray AAF",76.0,177.0
11986,"Grand Rapids, MI: Gerald R. Ford International",132.0,122.0
11995,"Greensboro/High Point, NC: Piedmont Triad International",191.0,222.0
11996,"Greer, SC: Greenville-Spartanburg International",172.0,214.0
11997,"Gustavus, AK: Gustavus Airport",42.0,2.0
12003,"Great Falls, MT: Great Falls International",49.0,47.0
12007,"Columbus, MS: Golden Triangle Regional",205.0,285.0
12012,"Gunnison, CO: Gunnison-Crested Butte Regional",216.0,269.0
12016,"Guam, TT: Guam International",60.0,69.0
12094,"Hayden, CO: Yampa Valley",183.0,210.0
12129,"Hibbing, MN: Range Regional",262.0,77.0
12156,"Helena, MT: Helena Regional",6.0,41.0
12173,"Honolulu, HI: Daniel K Inouye International",9.0,55.0
12177,"Hobbs, NM: Lea County Regional",134.0,33.0
12191,"Houston, TX: William P Hobby",148.0,137.0
12197,"White Plains, NY: Westchester County",287.0,296.0
12206,"Harlingen/San Benito, TX: Valley International",43.0,64.0
12217,"Huntsville, AL: Huntsville International-Carl T Jones Field",48.0,97.0
12250,"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field",237.0,71.0
12255,"Hays, KS: Hays Regional",89.0,34.0
12264,"Washington, DC: Washington Dulles International",171.0,110.0
12265,"Niagara Falls, NY: Niagara Falls International",165.0,180.0
12266,"Houston, TX: George Bush Intercontinental/Houston",142.0,171.0
12278,"Wichita, KS: Wichita Dwight D Eisenhower National",105.0,112.0
12280,"Idaho Falls, ID: Idaho Falls Regional",46.0,44.0
12323,"Wilmington, NC: Wilmington International",166.0,203.0
12335,"Iron Mountain/Kingsfd, MI: Ford",150.0,108.0
12339,"Indianapolis, IN: Indianapolis International",114.0,186.0
12343,"International Falls, MN: Falls International Einarson Field",259.0,149.0
12389,"Williston, ND: Sloulin Field International",98.0,40.0
12391,"Islip, NY: Long Island MacArthur",51.0,174.0
12397,"Ithaca/Cortland, NY: Ithaca Tompkins Regional",255.0,153.0
12402,"Hilo, HI: Hilo International",4.0,6.0
12441,"Jackson, WY: Jackson Hole",267.0,255.0
12448,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",122.0,89.0
12451,"Jacksonville, FL: Jacksonville International",103.0,181.0
12478,"New York, NY: John F. Kennedy International",280.0,293.0
12511,"Joplin, MO: Joplin Regional",206.0,277.0
12519,"Jamestown, ND: Jamestown Regional",168.0,53.0
12523,"Juneau, AK: Juneau International",28.0,23.0
12758,"Kona, HI: Ellison Onizuka Kona International at Keahole",17.0,22.0
12819,"Ketchikan, AK: Ketchikan International",35.0,37.0
12884,"Lansing, MI: Capital Region International",215.0,187.0
12888,"Laramie, WY: Laramie Regional",104.0,24.0
12889,"Las Vegas, NV: McCarran International",188.0,173.0
12891,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",254.0,240.0
12892,"Los Angeles, CA: Los Angeles International",241.0,271.0
12896,"Lubbock, TX: Lubbock Preston Smith International",71.0,116.0
12898,"Latrobe, PA: Arnold Palmer Regional",234.0,292.0
12915,"Lake Charles, LA: Lake Charles Regional",131.0,84.0
12945,"Lexington, KY: Blue Grass",233.0,234.0
12951,"Lafayette, LA: Lafayette Regional Paul Fournet Field",164.0,93.0
12953,"New York, NY: LaGuardia",284.0,304.0
12954,"Long Beach, CA: Long Beach Airport",212.0,197.0
12982,"Lihue, HI: Lihue Airport",10.0,16.0
12992,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",64.0,83.0
13029,"Lincoln, NE: Lincoln Airport",129.0,100.0
13061,"Laredo, TX: Laredo International",192.0,165.0
13076,"La Crosse, WI: La Crosse Regional",33.0,75.0
13127,"Lewiston, ID: Lewiston Nez Perce County",3.0,3.0
13158,"Midland/Odessa, TX: Midland International Air and Space Port",69.0,76.0
13184,"Saginaw/Bay City/Midland, MI: MBS International",203.0,207.0
13198,"Kansas City, MO: Kansas City International",87.0,120.0
13204,"Orlando, FL: Orlando International",208.0,253.0
13230,"Harrisburg, PA: Harrisburg International",193.0,230.0
13232,"Chicago, IL: Chicago Midway International",91.0,67.0
13241,"Meridian, MS: Key Field",303.0,302.0
13244,"Memphis, TN: Memphis International",99.0,119.0
13256,"Mission/McAllen/Edinburg, TX: McAllen Miller International",137.0,155.0
13264,"Medford, OR: Rogue Valley International - Medford",242.0,206.0
13277,"Montgomery, AL: Montgomery Regional",243.0,249.0
13290,"Manhattan/Ft. Riley, KS: Manhattan Regional",0.0,0.0
13296,"Manchester, NH: Manchester-Boston Regional",67.0,125.0
13303,"Miami, FL: Miami International",281.0,266.0
13342,"Milwaukee, WI: General Mitchell International",109.0,136.0
13344,"Muskegon, MI: Muskegon County",272.0,191.0
13360,"Melbourne, FL: Melbourne International",47.0,57.0
13367,"Moline, IL: Quad City International",180.0,224.0
13377,"Monroe, LA: Monroe Regional",219.0,225.0
13388,"Mammoth Lakes, CA: Mammoth Lakes Airport",300.0,208.0
13422,"Mobile, AL: Mobile Regional",201.0,231.0
13433,"Minot, ND: Minot International",162.0,91.0
13459,"Marquette, MI: Sawyer International",295.0,92.0
13476,"Monterey, CA: Monterey Regional",213.0,219.0
13485,"Madison, WI: Dane County Regional-Truax Field",93.0,130.0
13486,"Missoula, MT: Missoula International",59.0,56.0
13487,"Minneapolis, MN: Minneapolis-St Paul International",138.0,168.0
13495,"New Orleans, LA: Louis Armstrong New Orleans International",110.0,129.0
13502,"Montrose/Delta, CO: Montrose Regional",200.0,121.0
13541,"Martha's Vineyard, MA: Martha's Vineyard Airport",307.0,194.0
13577,"Myrtle Beach, SC: Myrtle Beach International",228.0,213.0
13795,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",240.0,209.0
13796,"Oakland, CA: Metropolitan Oakland International",113.0,138.0
13830,"Kahului, HI: Kahului Airport",22.0,38.0
13851,"Oklahoma City, OK: Will Rogers World",70.0,160.0
13871,"Omaha, NE: Eppley Airfield",82.0,132.0
13873,"Nome, AK: Nome Airport",19.0,14.0
13891,"Ontario, CA: Ontario International",136.0,162.0
13930,"Chicago, IL: Chicago O'Hare International",273.0,270.0
13931,"Norfolk, VA: Norfolk International",186.0,167.0
13933,"Worcester, MA: Worcester Regional",292.0,245.0
13964,"North Bend/Coos Bay, OR: Southwest Oregon Regional",309.0,309.0
13970,"Kotzebue, AK: Ralph Wien Memorial",8.0,7.0
14006,"Paducah, KY: Barkley Regional",261.0,159.0
14025,"Plattsburgh, NY: Plattsburgh International",149.0,161.0
14027,"West Palm Beach/Palm Beach, FL: Palm Beach International",266.0,262.0
14057,"Portland, OR: Portland International",66.0,86.0
14082,"Punta Gorda, FL: Punta Gorda Airport",225.0,202.0
14098,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",55.0,103.0
14100,"Philadelphia, PA: Philadelphia International",195.0,221.0
14107,"Phoenix, AZ: Phoenix Sky Harbor International",102.0,114.0
14108,"Peoria, IL: General Downing - Peoria International",244.0,145.0
14109,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",299.0,308.0
14113,"Pocatello, ID: Pocatello Regional",36.0,36.0
14122,"Pittsburgh, PA: Pittsburgh International",53.0,151.0
14150,"Pellston, MI: Pellston Regional Airport of Emmet County",249.0,144.0
14193,"Pensacola, FL: Pensacola International",68.0,87.0
