1,103
2,149
3,268
4,239
5,262
6,248
7,127
8,254
9,158
10,329
11,209
12,116
13,151
14,136
15,242
16,216
17,219
18,245
19,187
20,107
21,186
22,316
23,275
24,156
25,148
26,55
27,38
28,67
29,101
30,15
31,111
32,31
33,273
34,195
35,71
36,317
37,9
38,7
39,196
40,183
41,47
42,115
43,125
44,138
45,322
46,359
47,350
48,144
49,189
50,270
51,6
52,42
53,59
54,89
55,352
56,191
57,79
58,30
59,10
60,23
61,260
62,81
63,178
64,259
65,88
66,100
67,109
68,252
69,299
70,286
71,267
72,154
73,222
74,232
75,70
76,98
77,231
78,201
79,233
80,122
81,223
82,51
83,93
84,341
85,255
86,303
87,145
88,220
89,133
90,235
91,277
92,280
93,338
94,188
95,184
96,64
97,39
98,249
99,237
100,203
101,199
102,142
103,33
104,12
105,29
106,84
107,22
108,312
109,155
110,11
111,14
112,153
113,167
114,28
115,17
116,35
117,217
118,194
119,152
120,306
121,244
122,294
123,271
124,105
125,290
126,157
127,261
128,77
129,95
130,112
131,96
132,175
133,213
134,113
135,126
136,124
137,108
138,85
139,68
140,225
141,197
142,40
143,37
144,160
145,121
146,227
147,340
148,319
149,82
150,46
151,56
152,313
153,202
154,333
155,226
156,120
157,302
158,182
159,180
160,193
161,198
162,229
163,190
164,310
165,326
166,343
167,247
168,323
169,295
170,236
171,140
172,166
173,315
174,253
175,358
176,276
177,168
178,307
179,256
180,357
181,205
182,265
183,349
184,210
185,50
186,66
187,325
188,339
189,266
190,334
191,238
192,162
193,214
194,163
195,344
196,314
197,296
198,215
199,221
200,342
201,293
202,336
203,362
204,345
205,328
206,298
207,356
208,288
209,308
210,361
211,331
212,347
213,348
214,309
215,324
216,169
217,287
218,218
219,211
220,243
221,363
222,355
223,330
224,305
225,346
226,304
227,281
228,300
229,318
230,269
231,337
232,351
233,353
234,332
235,246
236,20
237,150
238,104
239,146
240,102
241,176
242,264
243,94
244,74
245,291
246,208
247,16
248,3
249,43
250,114
251,171
252,58
253,72
254,62
255,49
256,44
257,117
258,48
259,52
260,83
261,19
262,206
263,283
264,45
265,297
266,224
267,92
268,97
269,285
270,159
271,24
272,173
273,257
274,289
275,25
276,135
277,53
278,60
279,18
280,123
281,118
282,86
283,119
284,73
285,32
286,63
287,128
288,241
289,90
290,251
291,75
292,34
293,69
294,174
295,177
296,26
297,129
298,272
299,147
300,78
301,200
302,278
303,13
304,263
305,36
306,21
307,141
308,91
309,181
310,8
311,99
312,134
313,5
314,87
315,65
316,110
317,2
318,27
319,106
320,207
321,4
322,170
323,212
324,131
325,185
326,132
327,143
328,61
329,1
330,0
331,76
332,228
333,279
334,192
335,234
336,57
337,80
338,41
339,301
340,284
341,130
342,137
343,250
344,240
345,161
346,320
347,274
348,139
349,204
350,354
351,360
352,365
353,364
354,321
355,282
356,292
357,311
358,327
359,172
360,179
361,335
362,258
363,165
364,230
365,164
366,54
