7819A,1897
7820L,1501
N001AA,3157
N002AA,3297
N003AA,3500
N004AA,4263
N005AA,4306
N006AA,4078
N007AA,4498
N008AA,3538
N009AA,3766
N010AA,4248
N011AA,4370
N012AA,4381
N013AA,4393
N014AA,4645
N015AA,4235
N016AA,3615
N017AA,3780
N018AA,2523
N019AA,3602
N020AA,3480
N021AA,4469
N022AA,4318
N023AA,4268
N024AA,3752
N025AA,4600
N026AA,4005
N027AA,3656
N028AA,2372
N029AA,4420
N030AA,3629
N031AA,4574
N032AA,3044
N102AA,651
N102UW,3254
N103AA,505
N103SY,3867
N103US,3419
N104AA,2006
N104UA,5023
N104UW,3117
N10575,2195
N105AA,76
N105SY,3631
N105UA,5031
N105UW,3084
N106SY,4066
N107AA,68
N107SY,4124
N107UA,5034
N107US,3140
N108AA,129
N108SY,4320
N108UW,2980
N109AA,249
N109SY,4152
N109UW,2745
N110AA,290
N110SY,4097
N110UW,3213
N11107,3026
N11109,2310
N11127,288
N11140,1037
N11150,1592
N11164,1863
N11165,3119
N11176,1966
N11181,3061
N11184,2130
N11187,964
N11189,2781
N11191,2181
N11192,1994
N11193,3222
N11194,3335
N11199,2822
N111AA,185
N111US,2323
N11206,2794
N112AA,610
N112US,2008
N113SY,3931
N114AA,392
N114SY,4553
N114UW,2960
N11526,166
N11535,2654
N11536,3070
N11539,2937
N11544,2221
N11547,2554
N11548,2938
N11551,2472
N11565,2927
N116SY,4330
N116UA,4204
N117AA,328
N117SY,3697
N117UA,5033
N117UW,3753
N118AA,818
N118SY,4257
N118UA,5027
N118US,2402
N119AA,2814
N119SY,3883
N119UA,1149
N119US,3908
N1200K,4640
N1201P,3682
N120SY,4447
N120UA,4508
N12109,4433
N12114,3868
N12116,3013
N12125,3838
N12135,3179
N12136,2399
N12142,3180
N12157,2848
N12160,1764
N12163,1257
N12166,2509
N12167,3733
N12172,2740
N12175,2842
N12195,1723
N121AA,816
N121DE,3043
N121SY,4423
N121UA,4913
N121UW,3813
N12201,3111
N12216,2893
N12218,3329
N12221,4267
N12225,3381
N12238,1258
N122AA,159
N122SY,4176
N122UA,3743
N122US,3200
N123AA,548
N123UW,3359
N124AA,841
N124SY,4234
N124US,3316
N12528,177
N12530,641
N12540,2150
N12552,2376
N12563,3073
N12564,2619
N12567,2695
N12569,2808
N125AA,704
N125DL,3263
N125SY,3811
N125UW,2225
N126AA,171
N126DL,835
N126UW,3220
N12754,3083
N127AA,557
N127DL,2115
N127SY,4363
N127UA,4606
N127UW,2866
N128AA,945
N128DL,2503
N128SY,3829
N128UA,5012
N128UW,1076
N12900,1922
N12921,2703
N12922,2859
N12924,2551
N12996,3581
N129DL,1559
N130DL,1594
N130SY,3995
N13110,4506
N13113,4195
N13118,2633
N13132,961
N13133,1690
N13138,2458
N13161,2111
N131EV,3711
N131SY,3510
N13202,2598
N13227,3609
N13248,1768
N132EV,3197
N132SY,4083
N133EV,3844
N133SY,4243
N134EV,4029
N134SY,3875
N13538,2760
N13550,3240
N13553,1615
N13566,2019
N135EV,2769
N135SY,3534
N136DL,1139
N136EV,2996
N136SY,3583
N13716,3185
N13718,3028
N13720,3156
N13750,2354
N137EV,3135
N138DL,2138
N138EV,2944
N138SY,3782
N13903,2106
N13908,3498
N13913,3725
N13914,3853
N13954,4209
N13975,2066
N13978,2727
N13979,3204
N13988,2519
N13989,2601
N13992,1644
N13994,2476
N13995,3668
N13997,3059
N139DL,2366
N139SY,3746
N1402A,647
N140LL,2623
N140SY,3621
N14102,4073
N14105,2756
N14106,3794
N14107,3739
N14115,4524
N14118,3672
N14120,4436
N14121,4768
N14143,1958
N14148,2382
N14158,2797
N14162,2683
N14168,2914
N14171,2030
N14173,1717
N14174,2557
N14177,1867
N14179,1679
N14180,3020
N14186,104
N14188,1465
N14198,1045
N141SY,4244
N14203,1765
N14204,760
N14214,3613
N14219,1735
N14228,3295
N14230,2903
N14231,918
N14235,3301
N14237,1932
N14240,3564
N14242,3623
N14249,3272
N14250,3635
N142SY,4236
N143DA,1220
N143SY,3646
N144DA,1732
N144SY,3055
N14542,2579
N14543,2678
N14558,4210
N14562,2573
N14568,3432
N14570,3021
N14573,3149
N145SY,3913
N146PQ,2634
N146SY,3430
N14704,2537
N14731,2749
N14735,1071
N147PQ,3216
N148SY,4613
N14902,2605
N14904,3556
N14905,3848
N14907,2471
N14916,2877
N14920,3106
N14923,3139
N14977,2733
N14991,2870
N14993,3864
N14998,2279
N149SY,3162
N1501P,3268
N150AA,2964
N150SY,4194
N150UW,2863
N151AA,434
N151SY,3901
N151UW,2036
N152AA,1850
N152DL,3614
N152SY,3036
N152UW,2584
N153AA,504
N153DL,3663
N153PQ,1514
N153SY,1484
N153UW,1696
N154AA,3189
N154DL,4621
N154SY,2558
N154UW,4126
N15527,149
N15555,2915
N15572,2609
N15574,2401
N155AA,173
N155DL,4269
N155UW,2692
N156AA,1478
N156DL,2799
N156SY,4162
N156UW,3127
N15710,2340
N15751,2861
N157AA,1354
N157SY,3536
